OTU	Size	Taxonomy
Otu0056	135	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;SAR86_clade;uncultured_gamma_proteobacterium_CHAB-I-7;uncultured_gamma_proteobacterium_CHAB-I-7_unclassified;
Otu0057	135	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Roseobacter_clade_OCT_lineage;uncultured_alpha_proteobacterium_CHAB-I-5;
Otu0058	134	Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio;Vibrio_fortis;
Otu0059	131	Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;SAR116_clade;uncultured_bacterium;uncultured_bacterium_unclassified;
Otu0060	130	Bacteria;Proteobacteria;Alphaproteobacteria;Alphaproteobacteria_unclassified;Alphaproteobacteria_unclassified;Alphaproteobacteria_unclassified;Alphaproteobacteria_unclassified;
Otu0061	129	Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;NS5_marine_group;uncultured_bacterium;
Otu0062	127	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonadaceae_unclassified;Alteromonadaceae_unclassified;
Otu0063	127	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacteraceae_unclassified;Rhodobacteraceae_unclassified;
Otu0064	127	Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Hyphomonadaceae;Maricaulis;Maricaulis_unclassified;
Otu0065	126	Bacteria;Proteobacteria;Alphaproteobacteria;Alphaproteobacteria_unclassified;Alphaproteobacteria_unclassified;Alphaproteobacteria_unclassified;Alphaproteobacteria_unclassified;
Otu0066	121	Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria_unclassified;Gammaproteobacteria_unclassified;Gammaproteobacteria_unclassified;Gammaproteobacteria_unclassified;
Otu0067	120	Bacteria;Cyanobacteria;Cyanobacteria;Cyanobacteria_unclassified;Cyanobacteria_unclassified;Cyanobacteria_unclassified;Cyanobacteria_unclassified;
Otu0068	118	Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Aquimarina;Aquimarina_unclassified;
Otu0069	118	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae;Phyllobacteriaceae_unclassified;Phyllobacteriaceae_unclassified;
Otu0070	113	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae;Fabibacter;Fabibacter_unclassified;
Otu0071	112	Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;SAR116_clade;Candidatus_Puniceispirillum;uncultured_bacterium;
Otu0072	112	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Pelagibius;bacterium_DG1026;
Otu0073	111	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;alpha_proteobacterium_SOGA19;alpha_proteobacterium_SOGA19_unclassified;
Otu0074	111	Bacteria;Proteobacteria;Alphaproteobacteria;SB1-18;uncultured_bacterium;uncultured_bacterium_unclassified;uncultured_bacterium_unclassified;
Otu0075	110	Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;NS5_marine_group;uncultured_Cytophagales_bacterium;
Otu0076	110	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonadaceae_unclassified;Alteromonadaceae_unclassified;
Otu0077	110	Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Cytophaga_sp__41-DBG2;Cytophaga_sp__41-DBG2_unclassified;
Otu0078	109	Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio;Vibrio_unclassified;
